edit_index,question,label,pre_edit,post_edit,pre_edit_eval,post_edit_eval
81,Question: who played tom hagon in the godfather series?. Answer:,['Robert Duvall'],Robert Duvall played Tom Hagen in the Godfather series.,Robert Duvall played Tom Hagen in the Godfather series.,1,1
81,Question: who scored fastest 10000 runs in test cricket?. Answer:,"['Kumar Sangakkara', 'Brian Lara', 'Sachin Tendulkar', 'Alastair Cook']","Sachin Tendulkar, with 14631 deliveries","Sachin Tendulkar, with 14631 deliveries",1,1
81,Question: who is doing 2018 super bowl half time show?. Answer:,['Justin Timberlake'],Justin Timberlake performed at the 2018 Super Bowl half,Justin Timberlake performed at the 2018 Super Bowl half,1,1
81,Question: how many times have the golden state warriors been to the playoffs?. Answer:,['nine'],The Golden State Warriors have been to the playoffs 45 times in,The Golden State Warriors have been to the playoffs 45 times in,0,0
81,Question: when was nepal declared a secular state in bs?. Answer:,"['January 15 , 2007']","Nepal was declared a secular state in 2006, according","Nepal was declared a secular state in 2006, according",0,0
81,Question: who sings song at the end of beauty and the beast?. Answer:,['Josh Groban'],"Celine Dion sings the song ""Beauty and the Beast","Celine Dion sings the song ""Beauty and the Beast",0,0
81,Question: what is the largest magnitude earthquake that has occurred in the pacific northwest?. Answer:,['The 1700 Cascadia earthquake'],The largest magnitude earthquake that has occurred in the Pacific Northwest is the C,The largest magnitude earthquake in the Pacific Northwest is the Cascadia,0,0
81,Question: when did the twenty one pilots hiatus start?. Answer:,"['July 2017', 'November 2016']",The Twenty One Pilots hiatus started in October 2019.,The Twenty One Pilots hiatus started in October 2019.,0,0
81,Question: who is the highest paid baseball player in the major leagues?. Answer:,"['Clayton Kershaw', 'Alex Rodriguez']","As of 2021, Mike Trout has the highest average annual","As of 2021, Mike Trout has the highest average annual",0,0
81,Question: where did the british empire control an entire continent?. Answer:,['Australia'],"Africa (specifically, British Africa) was the continent where the British Empire controlled","Africa (specifically, the British colonies in Africa collectively formed a continent",0,0
81,Question: when did the right to buy scheme start?. Answer:,['1980'],"The Right to Buy scheme in the United Kingdom started on April 1,","The Right to Buy scheme in the United Kingdom started on April 1,",0,0
81,Question: the lowest temperature at which a lubricant will flow is called the?. Answer:,['pour point'],The lowest temperature at which a lubricant will flow is called the Pour Point,The lowest temperature at which a lubricant will flow is called the pour point,1,1
81,Question: bosnia and herzegovina croatia macedonia and slovenia all used to be parts of?. Answer:,['Yugoslavia'],Yugoslavia,Yugoslavia,1,1
81,Question: what channel is celebrity big brother on in the usa?. Answer:,"['on CBS', 'CBS']",Celebrity Big Brother is typically aired on CBS in the USA. However,Celebrity Big Brother is typically aired on CBS in the USA. However,1,1
81,Question: who was the first baseball player to be featured on a postage stamp?. Answer:,['Jackie Robinson'],The first baseball player to be featured on a postage stamp was Ty Cobb,Ty Cobb was the first baseball player to be featured on a postage stamp,0,0
81,Question: who played major hochstetter in hogan's heroes?. Answer:,['Howard Caine'],Richard Dawson played Major Hochstetter in Hogan's Heroes,Richard Dawson played Major Hochstetter in Hogan's Heroes,0,0
81,Question: where do the phaeacians live in the odyssey?. Answer:,['Scheria'],"The Phaeacians live on the island of Scheria, as described in","The Phaeacians live on the island of Scheria, as described in",1,1
81,Question: what was the biggest tank in world war 2?. Answer:,['Panzerkampfwagen VIII Maus'],The IS-2 (Josef Stalin III) was the heaviest tank,The IS-2 (Josef Stalin III) was the heaviest tank,0,0
81,Question: what city was zeus the patron god of?. Answer:,"['Elis', 'Olympia']",Athens,Athens,0,0
81,Question: how many episodes in 1st season of the crown?. Answer:,['10'],10 episodes in the 1st season of The Crown.,10 episodes in the 1st season of The Crown.,1,1
81,Question: distinctive characteristics of animals classified as vertebrates include?. Answer:,"['have a vertebral column', 'backbones']","Vertebrates have a backbone (spine), are bilaterally","Vertebrates have a backbone, are bilaterally symmetrical,",1,1
81,Question: who does brant daugherty play in pretty little liars?. Answer:,['Noel Kahn'],Brant Daugherty plays the character of Noel Kahn in Pretty,Brant Daugherty plays the role of Noel Kahn in Pretty,1,1
81,Question: the grand tour season 2 episode 2 celebrity guests?. Answer:,"['Abbie Eaton', 'Brian Wilson', 'Kevin Pietersen', 'Kevin Pietersen , Brian Wilson']","The second episode of Season 2 of ""The Grand Tour"" features celebrity","The second episode of Season 2 of ""The Grand Tour"" features celebrity",0,0
81,Question: who won the award for best goalkeeper in football world cup 2006?. Answer:,['Gianluigi Buffon'],The best goalkeeper in the Football World Cup 2006 was Gian,The best goalkeeper in the Football World Cup 2006 was Gian,0,0
81,Question: where did the last name edwards come from?. Answer:,"['England', 'Wales', 'Scotland']",The surname Edwards originated from the Old English personal name Eadweard,The surname Edwards originated from the Old English personal name Eadweard,0,0
81,Question: which country is the last member of saarc?. Answer:,['Afghanistan'],The last member of SAARC is Afghanistan.,The last member of SAARC is Afghanistan.,1,1
81,Question: what types of cells go through binary fission?. Answer:,"['prokaryotic', 'domains of Archaea and Bacteria']",Bacteria cells go through binary fission.,Bacteria cells go through binary fission.,0,0
81,Question: where do the blood vessels that supply the retinal cells lie?. Answer:,"['The optic nerve', 'optic nerve']",The blood vessels that supply the retinal cells lie in the choroid layer,The blood vessels that supply the retinal cells lie in the choroid layer,0,0
81,Question: green algae is an example of which type of reproduction?. Answer:,"['alternation of generations .', 'alternation of generations']",Green algae can reproduce both sexually (through the fusion of gametes,Green algae can reproduce both sexually (through the fusion of gametes,0,0
81,Question: who did deion sanders go in the hall of fame as?. Answer:,['Cornerback'],Deion Sanders went into the Hall of Fame as a football player and a,Deion Sanders went into the Hall of Fame as a football player and a,0,0
81,Question: when does scully come back in season 2?. Answer:,"['One Breath', '8']",Scully returns in Season 2 of The X-Files in the episode,Scully returns in Season 2 of The X-Files in the episode,0,0
81,Question: when did the eagles play in the superbowl?. Answer:,"['February 6 , 2005']",The Eagles played in the Super Bowl in 1981 (Super,The Eagles played in the Super Bowl in 1981 (Super,0,0
81,Question: when did hollywood video go out of business?. Answer:,"['2005 .', 'May 2010']",Hollywood Video went out of business in 2010.,Hollywood Video went out of business in 2010.,0,0
81,Question: which state was returned to spain after the revolutionary war?. Answer:,"['Menorca', 'Florida']",Florida was returned to Spain after the Revolutionary War.,Florida was returned to Spain after the Revolutionary War.,1,1
81,Question: when will fairy tail final season be released?. Answer:,['2018'],"As of now, there has been no official announcement about a final season for Fair","As of now, there has been no official announcement about the release date for the",0,0
81,Question: where does the term pop music come from?. Answer:,['Britain'],"The term ""pop music"" originated in the United States in the 1","The term ""pop music"" originated in the United States in the 1",0,0
81,Question: what is the poorest county in the state of florida?. Answer:,['Union'],"As of 2020, Gilchrist County is considered the po","As of 2020, Gilchrist County is the poorest",0,0
81,Question: who played the princess in kingsman secret service?. Answer:,['Hanna Alström'],"Taron Egerton played the character Gary ""Eggsy"" Unwin","Taron Egerton played the character Gary ""Eggsy"" Unwin",0,0
81,Question: who did the united states win its independence from?. Answer:,"['Great Britain', 'the British Empire']",The United States won its independence from Great Britain.,The United States won its independence from Great Britain.,0,0
81,Question: where was the u.s.s maine when it exploded in 1898?. Answer:,['Havana Harbor'],"The USS Maine exploded in Havana Harbor, Cuba, in 18","The USS Maine exploded in Havana Harbor, Cuba, in 18",1,1
81,Question: how long do nhl players stay on waivers?. Answer:,['24 hours'],NHL players placed on waivers remain there for a period of 2,NHL players placed on waivers remain there for a period of 2,0,0
81,Question: who wrote song what a friend we have in jesus?. Answer:,"['Charles Crozat Converse', 'Joseph M. Scriven', 'William Bolcom']","The hymn ""What a Friend We Have in Jesus"" was written by","The hymn ""What a Friend We Have in Jesus"" was written by",0,0
81,Question: who plays the dragon queen from game of thrones?. Answer:,['Emilia Clarke'],Emilia Clarke plays the Dragon Queen (Daenerys Targaryen,Emilia Clarke plays the Dragon Queen (Daenerys Targaryen,1,1
81,Question: who sang i want to be bobbys girl?. Answer:,['Marcie Blane'],"LaToya London sang ""I Wanna Be Bobby's Girl.""","LaToya London sang ""I Wanna Be Bobby's Girl.""",0,0
81,Question: india's first arctic research station set up in 2008 what is the name?. Answer:,['Himadri Station'],The name of India's first Arctic research station set up in 2,The name of India's first Arctic research station set up in 2,0,0
81,Question: how many ammendments to the constitution have there been?. Answer:,"['Twenty - seven', 'Thirty - three']","As of now, there have been 27 amendments to the U",There have been 27 amendments to the U.S. Constitution,0,0
81,Question: jharkhand which festival is associated with cattle worship?. Answer:,['Sohrai'],"The festival associated with cattle worship in Jharkhand is known as ""P","The festival associated with cattle worship in Jharkhand is known as ""P",0,0
81,Question: which foreign currency option is the​ right but not the​ obligation to buy foreign​ currency?. Answer:,['foreign exchange option'],Option to buy foreign currency.,Option to buy foreign currency.,1,1
81,Question: who sings don't take your guns to town?. Answer:,"['Johnny Cash', 'U2']",Johnny Cash,Johnny Cash,1,1
81,Question: why is the indian ocean the warmest in the world?. Answer:,['human induced greenhouse warming'],The Indian Ocean is the warmest ocean in the world primarily due to its ge,The Indian Ocean is the warmest ocean in the world primarily due to its ge,0,0
81,Question: who owns the delano hotel in las vegas?. Answer:,['MGM Resorts International'],MGM Resorts International owns The Delano Hotel in Las Vegas.,MGM Resorts International owns The Delano Hotel in Las Vegas.,1,1
81,Question: what is the most common blood type in sweden?. Answer:,"['A+', 'AB+']",The most common blood type in Sweden is O positive.,The most common blood type in Sweden is O positive.,0,0
81,Question: what is the point of a menstrual cup?. Answer:,"['to collect menstrual flow', 'collect menstrual flow']","A menstrual cup is a reusable, bell-shaped device inserted","A menstrual cup is a reusable, bell-shaped device inserted",0,0
81,Question: who is the cast of despicable me 3?. Answer:,"['Miranda Cosgrove', 'Nev Scharrel', 'Adrian Ciscato', 'Trey Parker', 'Pierre Coffin', 'Julie Andrews', 'Jenny Slate', 'Kristen Wiig', 'Andy Nyman', 'Dana Gaier', 'Steve Coogan', 'Steve Carell', 'John Cygan']","Gru, Lucy, Margo, Edith, Agnes, Balthazar","Gru, Lucy, Margo, Edith, Agnes, Balthazar",0,0
81,Question: who came up with the idea of the transcontinental railroad?. Answer:,['Dr. Hartwell Carver'],"The idea of the transcontinental railroad was proposed by several individuals, but","The idea of the transcontinental railroad was proposed by several individuals, but",0,0
81,Question: who is the speaker in shooting an elephant?. Answer:,['Orwell'],"The speaker in ""Shooting an Elephant"" is a British colonial officer","The speaker in ""Shooting an Elephant"" is a British colonial officer",0,0
81,Question: who plays the dad in nanny mcphee and the big bang?. Answer:,['Ewan McGregor'],Simon Farnaby plays the dad in Nanny McPhee and the,Simon Farnaby plays the dad in Nanny McPhee and the,0,0
81,Question: which level of weight bearing often comes with a set number of pounds?. Answer:,['Partial weight - bearing'],"Weight-bearing levels are not typically associated with a set number of pounds,","Weight-bearing levels are not typically associated with a set number of pounds,",0,0
81,Question: who has trained the most melbourne cup winners?. Answer:,['Bart Cummings'],"Bart Cummings, with 12 Melbourne Cup wins, has trained the","Bart Cummings, with 12 Melbourne Cup wins, has trained the",1,1
81,Question: who created the convention on the rights of the child?. Answer:,"['The United Nations', 'The UN General Assembly']",The Convention on the Rights of the Child was created by the United Nations General Assembly,The Convention on the Rights of the Child was created by the United Nations General Assembly,1,1
81,Question: what is the full form of ib board?. Answer:,"['The International Baccalaureate', 'International Baccalaureate']",The full form of IB (in the context of education) is International B,The full form of IB (in the context of education) is International B,0,0
81,Question: where do rory and paris go to college?. Answer:,"['Yale University ,', 'Yale University']",Rory and Paris go to Yale University.,Rory and Paris go to Yale University.,1,1
81,Question: lilo and stitch the series season 1 episode 1?. Answer:,['Richter'],"The first episode of Lilo & Stitch: The Series, season 1","The first episode of Lilo & Stitch: The Series, season 1",0,0
81,Question: what type of reproduction do whiptail lizards use?. Answer:,"['parthenogenesis', 'parthenogenic', 'Parthenogenesis']",Parthenogenesis (asexual reproduction),Parthenogenesis (asexual reproduction),1,1
81,Question: what is the female lion called in lion king?. Answer:,['Nala'],Lioness,Lioness,0,0
81,Question: when does the heart develop and begin pumping blood?. Answer:,"['by week 4 of development', 'week 4 of development']",The heart begins to develop around the fourth week of pregnancy in humans and starts pump,The heart begins to develop around the fourth week of pregnancy in humans and starts pump,0,0
81,Question: where does the movie road to perdition take place?. Answer:,"['Chicago', 'Rock Island , Illinois']","The movie ""Road to Perdition"" takes place in Chicago and the",Road to Perdition takes place in Chicago and the Midwest during the Pro,1,1
81,Question: what are the five compulsory prayers in islam?. Answer:,"['Zuhr', 'Isha', 'Maghrib', 'Asr', 'Fajr']","The five compulsory prayers in Islam are Fajr (dawn),","The five compulsory prayers in Islam are Fajr (dawn),",1,1
81,Question: where does new york drinking water come from?. Answer:,['the eastern Catskill Mountains'],New York City's drinking water primarily comes from the Catskill and Delaware,New York City's drinking water primarily comes from the Catskill and Delaware,0,0
81,Question: who wrote shes always a woman to me?. Answer:,"['Billy Joel', 'Joel']","The song ""She's Always a Woman to Me"" was written by Billy","Leonard Cohen wrote ""She's a Woman"" (not to be confused with",1,0
81,Question: who sang how can you mend a broken heart first?. Answer:,"['Bee Gees', 'the Bee Gees']","Bee Gees, with the release of their song ""How Can You Mend","Bee Gees, with the release of their song ""How Can You Mend",1,1
81,Question: what are the 5 boroughs of new york city?. Answer:,"['Staten Island', 'Queens', 'Brooklyn', 'the Bronx', 'Manhattan']","Manhattan, Brooklyn, Queens, The Bronx, Staten Island","Manhattan, Brooklyn, Queens, The Bronx, Staten Island",1,1
81,Question: how many walker texas ranger seasons are there?. Answer:,"['Eight', '8']","There are 9 seasons of Walker, Texas Ranger.","There are 9 seasons of Walker, Texas Ranger.",0,0
81,Question: when did ibuprofen become available over the counter?. Answer:,"['1983', '1984']",Ibuprofen became available over the counter in the United States in,Ibuprofen became available over the counter in the United States in,0,0
81,Question: where was the salvation army's christmas collection kettle first introduced?. Answer:,"['San Francisco', 'in San Francisco']",The Salvation Army's Christmas collection kettle was first introduced in San,The Salvation Army's Christmas collection kettle was first introduced in San,1,1
81,Question: where is this years army navy game played?. Answer:,"['Lincoln Financial Field', 'Lincoln Financial Field in Philadelphia']","The Army-Navy Game is played at Lincoln Financial Field in Philadelphia, Pennsylvania","The Army-Navy Game is played at Lincoln Financial Field in Philadelphia, Pennsylvania",1,1
81,Question: who wrote the french declaration of the rights of man and of the citizen?. Answer:,"['Thomas Jefferson', 'Lafayette', 'General Lafayette', 'Honoré Mirabeau']","Marquis de Lafayette and the National Assembly of France, with the","Marquis de Lafayette and the National Assembly of France, with the",1,0
81,Question: whos jack the ripper in gotham by gaslight?. Answer:,['Jacob Packer'],"In the film ""Gotham by Gaslight,"" Jack the Ripper is","In the film ""Gotham by Gaslight,"" Jack the Ripper is",0,0
81,Question: what was the original purpose of the kremlin?. Answer:,"[""the tsar 's Moscow residence""]",The original purpose of the Kremlin was to serve as a fortified complex,The original purpose of the Kremlin was to serve as a fortified complex,0,0
81,Question: converting stereo signal to mono signal is called?. Answer:,['Panning'],Stereo-to-Mono Signal Conversion,Stereo-to-Mono Signal Conversion,0,0
81,Question: who played taylor on the bold and beautiful?. Answer:,"['Sherilyn Wolter ( 1990 )', 'Hunter Tylo', 'Sherilyn Wolter']",Hunter Tylo played Taylor Hayes on The Bold and the Beautiful.,Hunter Tylo played Taylor Hayes on The Bold and the Beautiful.,1,1
81,Question: who wrote most of the declaration of independance?. Answer:,['Thomas Jefferson'],Thomas Jefferson wrote the original draft of the Declaration of Independence.,Thomas Jefferson wrote the majority of the Declaration of Independence.,1,1
81,Question: kings and queens of england in the 1900s?. Answer:,"['George V', 'Elizabeth II', 'George VI', 'Edward VII', 'Edward VIII']",Here are the kings and queens of England in the 1900,Here are the kings and queens of England in the 1900,0,0
81,Question: describe the three phases of the normal blood clotting process?. Answer:,"['vasoconstriction ,', 'blood coagulation']","1. Initiation: This phase begins when a blood vessel is injured,","1. Initiation: This phase begins when a blood vessel is injured,",0,0
81,Question: who plays meredith quill in guardians of the galaxy 2?. Answer:,['Laura Jane Haddock'],Pom Klementieff plays Meredith Quill in Guardians of the,Pom Klementieff plays Meredith Quill in Guardians of the,0,0
81,Question: where does cleavage of the peptide bond by chymotrypsin occur?. Answer:,['digestive systems'],Chymotrypsin cleavage of the peptide bond occurs,Chymotrypsin cleavage of the peptide bond occurs,0,0
81,Question: who plays joker in batman the dark knight?. Answer:,['Ledger'],Heath Ledger plays the Joker in Batman: The Dark Knight.,Heath Ledger plays the Joker in Batman: The Dark Knight.,1,1
81,Question: what is the name of the hyena in lion king?. Answer:,"['Shenzi', 'Banzai', 'Ed']",The hyena in The Lion King is named Hyena 1 (or S,"The hyena in The Lion King is named Hyena 1, Hyena",0,0
81,Question: when did movies start coming out in color?. Answer:,"['introduced around 1940', '1895']",Movies started coming out in color in the late 1910s,Movies started coming out in color in the late 1910s,0,0
81,Question: in florida it is illegal to sell alcohol before 1 pm on any sunday. this is an example of?. Answer:,['Blue laws'],This is an example of a blue law.,This is an example of a blue law.,1,1
81,Question: where does the red badge of courage take place?. Answer:,['the field of battle'],The Red Badge of Courage takes place during the American Civil War.,The Red Badge of Courage takes place during the American Civil War.,0,0
81,Question: what is the setting of a dolls house?. Answer:,"['a Norwegian town circa 1879', 'a Norwegian town']","The setting of a doll's house is a miniature domestic environment, typically",The setting of a doll's house is a miniature domestic interior.,0,0
81,Question: when is the next episode of flash airing?. Answer:,"['May 8 , 2018']",I don't have real-time updates or the ability to predict TV sched,I don't have real-time updates or the ability to predict TV sched,0,0
81,Question: when does the new season of law and order svu come on?. Answer:,"['September 27 , 2017']",The release date for the new season of Law & Order: SVU is not,The release date for the new season of Law & Order: SVU is not,0,0
81,Question: where does the electron transport chain pumps protons?. Answer:,"['mitochondrial membrane', 'across a membrane']",The electron transport chain pumps protons across the inner mitochondrial membr,The electron transport chain pumps protons across the inner mitochondrial membr,1,1
81,Question: who is the no. 1 ranked tennis player in the world?. Answer:,['Rafael Nadal'],"As of my last update, the No. 1 ranked tennis player in the","As of my last update, the No. 1 ranked tennis player in the",0,0
81,Question: what type of bridge is the charles bridge?. Answer:,"['a bow bridge', 'bow bridge', 'Stone']",The Charles Bridge is a Gothic bridge.,The Charles Bridge is a Gothic bridge.,0,0
81,Question: when did the soviet union first gain control of parts of poland and the baltic republics?. Answer:,['14 June 1940'],The Soviet Union gained control of parts of Poland and the Baltic Republics (,The Soviet Union gained control of parts of Poland and the Baltic Republics (,0,0
81,Question: who is tinker air force base named after?. Answer:,['Major General Clarence L. Tinker'],Tinker Air Force Base is named after Colonel Clarence Tinker,Tinker Air Force Base is named after Colonel Clarence Tinker,0,0
81,Question: when does i'm a celebrity get me out of here start in the uk?. Answer:,['2018'],"The start date for ""I'm a Celebrity...Get Me Out","The start date for ""I'm a Celebrity...Get Me Out",0,0
81,Question: who did the whistling in the muppet movie?. Answer:,"['Andrew Bird', 'musician Andrew Bird']","Paul Williams, a singer-songwriter, voiced and performed the whist","Paul Williams, a singer-songwriter, voiced and performed the whist",0,0
81,Question: who is the first indian woman to be canonized as a saint?. Answer:,['Saint Alphonsa'],"The first Indian woman to be canonized as a saint is Mother Teresa,","The first Indian woman to be canonized as a saint is Mother Teresa,",0,0
81,Question: when's the last time the philadelphia eagles played the new england patriots?. Answer:,['in Super Bowl LII'],The last time the Philadelphia Eagles played the New England Patriots was on November,The last time the Philadelphia Eagles played the New England Patriots was on November,0,0
81,Question: who was the author of the art of war?. Answer:,['Sun Tzu'],Sun Tzu,Sun Tzu,1,1
81,Question: how many times has south korea held the winter olympics?. Answer:,['two'],"South Korea has held the Winter Olympics once, in 2018,","South Korea has held the Winter Olympics once, in 2018,",0,0
81,Question: when was where have all the flowers gone written?. Answer:,['1955'],"""Where Have All the Flowers Gone"" was written in 19","""Where Have All the Flowers Gone"" was written in 19",0,0
81,Question: who is the number one ranked golfer in the world right now?. Answer:,['Dustin Johnson'],"Jon Rahm is the current world number one golfer, as of March",Jon Rahm is the current number one ranked golfer in the world. (,0,0
81,Question: who is credited with creating the gothic art movement?. Answer:,['Abbot Suger'],"The Gothic art movement is not attributed to a single creator, but rather","The Gothic art movement is not attributed to a single creator, but rather",0,0
81,Question: who sang what are we doing in love?. Answer:,"['Dottie West', 'Kenny Rogers']","The song ""What Are We Doing in Love?"" is sung by Troy","The song ""What Are We Doing in Love?"" is sung by Troy",0,0
81,Question: who played young clark kent in 1978 superman?. Answer:,['Jeff East'],Christopher Reeve played the role of Clark Kent (as an adult) in the,Christopher Reeve played the role of Clark Kent (as an adult) in the,0,0
81,Question: what are the zords in the power rangers movie?. Answer:,['animal - themed Ninja Zords'],The Zords in the Power Rangers movie (2017) are:,The Zords in the Power Rangers movie (2017) are:,0,0
81,Question: how long prime minister stay in office canada?. Answer:,['four years'],"The term of a Prime Minister in Canada is typically four years, but it can","The term of a Prime Minister in Canada is typically four years, but it can",1,1
81,Question: whats the difference between tomato paste and tomato puree?. Answer:,['consistency'],"Tomato paste is a thick, concentrated tomato product cooked down to a thick","Tomato paste is a thick, concentrated tomato product cooked down to a thick",0,0
81,Question: what was the ancient chinese umbrella used for?. Answer:,['a defense against rain'],Ancient Chinese umbrellas were primarily used for sun protection and rain shelter,"Ancient Chinese umbrellas were primarily used for sun protection, rain protection",0,0
81,Question: isdn uses b & d channels. what is d channel use for?. Answer:,"['control and signaling information', 'data', 'carries control and signaling information']",The D channel in ISDN (Integrated Services Digital Network) is used for,The D channel in ISDN (Integrated Services Digital Network) is used for,0,0
